orden_categoria,categoria,categoria_en,categoria_nota,categoria_nota_en,subcategoria,subcategoria_en,orden,nombre,nombre_en,precio,descripcion,descripcion_en,alergenos,publicar
10,Brunch,Brunch,Cocina abierta todos los días hasta las 16:00.,Kitchen open every day until 16:00.,Menús,Menus,10,Menú Aura,Aura Menu,"19,90 €","Elección de plato + bebida (zumo de naranja o agua Font Vella 33cl / kombucha +4 € / Aperol Spritz +5,90 €) + café con leche o infusión + dulce a elección. Promo: 2 por 34,90 €.",Choice of plate + drink (orange juice or Font Vella water 33cl / kombucha +4 € / Aperol Spritz +5.90 €) + coffee with milk or tea + sweet of your choice. Promo: 2 for 34.90 €.,,si
10,Brunch,Brunch,Cocina abierta todos los días hasta las 16:00.,Kitchen open every day until 16:00.,Menús,Menus,20,Menú Eggs,Eggs Menu,"15,90 €","Elección de huevos + bebida + café con leche o infusión + dulce a elección. Promo: 2 por 24,90 €.",Choice of eggs + drink + coffee with milk or tea + sweet of your choice. Promo: 2 for 24.90 €.,,si
10,Brunch,Brunch,Cocina abierta todos los días hasta las 16:00.,Kitchen open every day until 16:00.,Menús,Menus,30,Menú Start,Start Menu,"11,90 €","Elección de tosta (vegana o espinacas) + bebida + café con leche o infusión. Promo: 2 por 19,90 €.",Choice of toast (vegan or spinach) + drink + coffee with milk or tea. Promo: 2 for 19.90 €.,,si
10,Brunch,Brunch,Cocina abierta todos los días hasta las 16:00.,Kitchen open every day until 16:00.,Platos,Plates,10,Patagonia Grill,Patagonia Grill,"13,90 €","Roast beef, dos huevos fritos, aguacate, ensalada de quinoa y pico de gallo con alubias.","Roast beef, two fried eggs, avocado, quinoa salad and pico de gallo with beans.","1,2",si
10,Brunch,Brunch,Cocina abierta todos los días hasta las 16:00.,Kitchen open every day until 16:00.,Platos,Plates,20,Full English,Full English,"13,90 €","Dos huevos fritos, salchicha, bacon, morcilla, alubias en salsa de tomate, champiñones, tomate asado y pan de masa madre tostado.","Two fried eggs, sausage, bacon, sliced blood sausage, beans in tomato sauce, mushrooms, roasted tomato and toasted sourdough.","1,2,9",si
10,Brunch,Brunch,Cocina abierta todos los días hasta las 16:00.,Kitchen open every day until 16:00.,Platos,Plates,30,California Benedict,California Benedict,"12,90 €","Huevos pochados sobre brioche tostado, salmón curado de la casa, espinacas salteadas y verduras.","Poached eggs on toasted brioche, house-cured salmon, sautéed spinach and vegetables.","1,4,8,9",si
10,Brunch,Brunch,Cocina abierta todos los días hasta las 16:00.,Kitchen open every day until 16:00.,Platos,Plates,40,Tulum Rancheros,Tulum Rancheros,"12,90 €","Huevos rancheros picantes, pulled pork, alubias, pico de gallo y tortillas.","Spicy ranch-style eggs, pulled pork, beans, pico de gallo and tortillas.","1,2",si
20,Huevos,Eggs,Servidos con pan de masa madre 100% integral · obrador local · fermentación 24 h.,Served with 100% whole wheat sourdough bread · local bakery · 24h fermentation.,,,10,Super Proteico · Keto,Super Protein · Keto,"11,90 €","Dos huevos revueltos, salmón curado y aguacate.","Two scrambled eggs, cured salmon and avocado.","1,4",si
20,Huevos,Eggs,Servidos con pan de masa madre 100% integral · obrador local · fermentación 24 h.,Served with 100% whole wheat sourdough bread · local bakery · 24h fermentation.,,,20,Huevos a la Española,Spanish Eggs,"9,90 €",Dos huevos fritos con jamón serrano.,Two fried eggs with serrano ham.,"1,2,9",si
20,Huevos,Eggs,Servidos con pan de masa madre 100% integral · obrador local · fermentación 24 h.,Served with 100% whole wheat sourdough bread · local bakery · 24h fermentation.,,,30,Huevos Calpe,Calpe Eggs,"9,90 €","Dos huevos fritos, espinacas salteadas, aguacate y bacon crujiente.","Two fried eggs, sautéed spinach, avocado and crispy bacon.","1,9",si
20,Huevos,Eggs,Servidos con pan de masa madre 100% integral · obrador local · fermentación 24 h.,Served with 100% whole wheat sourdough bread · local bakery · 24h fermentation.,,,40,Huevos Turcos,Turkish Eggs,"8,90 €","Dos huevos pochados sobre yogur griego cremoso, aceite de guindilla y ajo.","Two poached eggs on creamy Greek yogurt, chili oil and garlic.","1,8,9",si
20,Huevos,Eggs,Servidos con pan de masa madre 100% integral · obrador local · fermentación 24 h.,Served with 100% whole wheat sourdough bread · local bakery · 24h fermentation.,,,50,Tortilla Francesa,French Omelette,"10,90 €","Tortilla extra jugosa con espinacas frescas, champiñones salteados y virutas de parmesano.","Extra juicy omelette with fresh spinach, sautéed mushrooms and parmesan shavings.","1,8,9",si
30,Ensaladas,Salads,,,,,10,Mediterránea,Mediterranean,"10,90 €","Atún, mezclum, zanahoria, cebolla encurtida, huevo frito, tomates cherry y queso feta. Crema de aguacate, aceite de oliva, tabasco y limón.","Tuna, mixed greens, carrot, pickled onion, fried egg, cherry tomatoes and feta cheese. Avocado cream, olive oil, tabasco and lemon.","1,2,4,8,9",si
30,Ensaladas,Salads,,,,,20,Proteica Vegana,Vegan Protein,"9,90 €","Tofu especiado salteado, quinoa, rúcula, tomates cherry y espárragos. Hummus de garbanzo, aceite de oliva y limón.","Spiced sautéed tofu, quinoa, arugula, cherry tomatoes and asparagus. Chickpea hummus, olive oil and lemon.","3,9",si
30,Ensaladas,Salads,,,,,30,Power,Power,"11,90 €","Roast beef, quinoa, rúcula, tomates cherry y cebolla encurtida. Salsa de rábano picante (mayonesa, rábano picante y tabasco).","Roast beef, quinoa, arugula, cherry tomatoes and pickled onion. Horseradish sauce (mayonnaise, horseradish and tabasco).","2,6,8,9",si
40,Sandwiches,Sandwiches,Bagel · Brioche — el precio depende del relleno.,Bagel · Brioche — price depends on the filling.,,,10,Caprese,Caprese,"13,80 €","Burrata cremosa, pesto casero, rúcula y tomates cherry salteados con ajo, mantequilla y vinagre balsámico.","Creamy burrata, homemade pesto, arugula and cherry tomatoes sautéed with garlic, butter and balsamic vinegar.","8,9,10",si
